CustomerID,SubscriptionDuration,PaymentFrequency,UsageFrequency,CustomerSupportInteractions,Churn
1,1,monthly,daily,14,1
2,4,monthly,weekly,21,0
3,4,monthly,daily,15,1
4,10,monthly,weekly,27,1
5,20,monthly,weekly,28,0
6,22,annually,monthly,4,0
7,24,annually,weekly,3,0
8,7,monthly,weekly,22,0
9,25,monthly,monthly,20,1
10,25,annually,monthly,18,0
11,13,monthly,monthly,5,0
12,2,annually,weekly,13,0
13,24,monthly,monthly,14,0
14,25,annually,daily,0,0
15,18,monthly,monthly,4,1
16,26,annually,weekly,0,0
17,14,monthly,daily,25,0
18,9,annually,daily,24,0
19,10,monthly,monthly,27,0
20,21,monthly,daily,4,0
21,17,annually,monthly,10,1
22,6,annually,daily,16,1
23,16,monthly,monthly,23,0
24,1,monthly,monthly,26,0
25,19,monthly,daily,10,0
26,25,annually,weekly,14,0
27,30,annually,weekly,14,0
28,20,annually,daily,26,0
29,20,monthly,weekly,25,0
30,15,annually,weekly,24,0
31,33,annually,weekly,11,0
32,2,monthly,monthly,15,1
33,10,monthly,daily,13,0
34,33,annually,monthly,11,0
35,32,annually,daily,13,1
36,11,annually,weekly,22,1
37,24,monthly,monthly,17,0
38,12,monthly,monthly,12,0
39,29,monthly,daily,8,0
40,35,monthly,daily,25,0
41,1,annually,weekly,28,0
42,1,annually,daily,13,0
43,6,annually,daily,25,1
44,18,monthly,weekly,1,1
45,16,annually,daily,18,0
46,5,annually,monthly,28,0
47,32,annually,weekly,18,0
48,2,monthly,daily,7,0
49,2,annually,weekly,29,0
50,12,annually,daily,8,0
51,19,monthly,weekly,20,0
52,28,monthly,monthly,3,0
53,1,monthly,weekly,13,0
54,15,monthly,weekly,2,0
55,13,annually,daily,8,0
56,21,annually,monthly,28,0
57,12,annually,weekly,27,0
58,5,monthly,monthly,25,0
59,7,annually,monthly,10,1
60,5,monthly,daily,28,0
61,4,monthly,weekly,2,1
62,13,monthly,weekly,2,0
63,15,annually,daily,6,1
64,16,monthly,weekly,5,1
65,21,monthly,daily,3,0
66,24,annually,daily,1,0
67,16,annually,daily,8,0
68,14,monthly,weekly,1,0
69,22,annually,monthly,21,0
70,6,monthly,weekly,25,0
71,1,monthly,weekly,18,0
72,32,annually,weekly,17,1
73,6,annually,daily,14,0
74,31,monthly,daily,9,0
75,1,annually,weekly,27,0
76,35,annually,daily,28,1
77,30,monthly,daily,29,1
78,4,annually,monthly,14,0
79,35,annually,daily,3,1
80,14,annually,monthly,22,1
81,22,annually,weekly,3,0
82,10,monthly,daily,5,0
83,1,annually,daily,29,0
84,11,annually,daily,8,1
85,24,annually,daily,17,0
86,3,monthly,daily,23,0
87,35,annually,monthly,8,0
88,31,monthly,monthly,9,0
89,4,annually,weekly,27,0
90,19,monthly,monthly,23,1
91,21,monthly,daily,18,0
92,18,monthly,daily,25,0
93,28,annually,daily,13,1
94,15,annually,daily,0,1
95,2,monthly,monthly,6,0
96,11,monthly,daily,25,1
97,23,annually,daily,8,0
98,12,annually,daily,0,0
99,3,annually,daily,14,0
100,17,annually,daily,16,0
101,33,annually,monthly,9,0
102,1,monthly,daily,9,0
103,20,monthly,monthly,13,0
104,14,annually,daily,8,0
105,31,monthly,daily,7,0
106,25,annually,daily,13,0
107,3,annually,daily,10,0
108,4,monthly,daily,27,0
109,31,monthly,monthly,26,1
110,35,monthly,daily,14,0
111,14,annually,monthly,1,0
112,9,monthly,monthly,21,0
113,20,annually,daily,1,0
114,32,monthly,daily,22,0
115,9,annually,daily,8,1
116,27,monthly,monthly,17,0
117,3,monthly,monthly,8,0
118,4,annually,daily,20,0
119,15,monthly,weekly,22,0
120,33,monthly,monthly,10,0
121,5,annually,daily,22,0
122,4,monthly,daily,29,0
123,12,monthly,weekly,4,0
124,23,monthly,monthly,29,1
125,14,monthly,daily,8,0
126,12,annually,weekly,26,1
127,17,annually,daily,14,0
128,25,monthly,daily,8,0
129,30,monthly,weekly,0,0
130,22,annually,monthly,5,0
131,26,monthly,weekly,16,0
132,17,annually,daily,8,0
133,20,monthly,weekly,2,0
134,34,monthly,weekly,28,0
135,33,monthly,weekly,19,0
136,7,annually,weekly,6,0
137,22,annually,monthly,15,1
138,32,annually,monthly,17,0
139,14,monthly,weekly,18,0
140,8,annually,monthly,25,0
141,25,annually,daily,29,0
142,16,annually,weekly,6,0
143,19,monthly,weekly,14,0
144,16,monthly,weekly,13,0
145,12,monthly,weekly,6,0
146,30,annually,daily,1,0
147,2,annually,weekly,10,0
148,32,monthly,weekly,3,0
149,25,monthly,daily,6,0
150,25,annually,weekly,10,1
151,4,annually,weekly,5,1
152,19,annually,weekly,25,1
153,4,monthly,weekly,22,1
154,13,monthly,monthly,16,1
155,23,monthly,monthly,4,0
156,6,annually,monthly,17,0
157,24,annually,monthly,29,1
158,33,annually,weekly,4,0
159,12,monthly,weekly,19,0
160,21,monthly,daily,13,0
161,11,monthly,weekly,1,0
162,29,monthly,weekly,15,1
163,3,annually,daily,15,0
164,28,annually,daily,13,1
